Vendor,Library,No,ID,Formula,MW,Smile,Conc_mM,Solvent,Plate_ID,Plate_well
Enamine,UC-192873,617,Z2856434843,C6H13NO2,131.172,OCCN1CCOCC1,100,ethylene glycol,1119104-Y20-C03,B02
Enamine,UC-192873,618,Z45617795,C9H13NO2S,199.270,CS(=O)(=O)NCCC=1C=CC=CC1,100,ethylene glycol,1119104-Y20-C03,C02
Enamine,UC-192873,619,Z71580604,C11H14N2O2,206.241,CC=1C=CC(NC(=O)C2CCCO2)=NC1,100,ethylene glycol,1119104-Y20-C03,D02
Enamine,UC-192873,620,Z2856434836,C14H20N2O2,248.320,CN1CCN(CC1)C(=O)COC=2C=CC(C)=CC2,100,ethylene glycol,1119104-Y20-C03,E02
Enamine,UC-192873,621,Z1209494589,C10H20N2O2,200.278,COCC(C)N1CCN(CC1)C(=O)C,100,ethylene glycol,1119104-Y20-C03,F02
Enamine,UC-192873,622,Z952656810,C8H12N2O,152.193,CC(=O)N1CCC(CC1)C#N,100,ethylene glycol,1119104-Y20-C03,G02
Enamine,UC-192873,623,Z1497321453,C10H14N2OS,210.295,CC1=NC(C(=O)N2CCCC2)=C(C)S1,100,ethylene glycol,1119104-Y20-C03,H02
Enamine,UC-192873,624,Z2856434829,C12H14F2N2O,240.249,CN1CCN(CC1)C(=O)C=2C=CC(F)=C(F)C2,100,ethylene glycol,1119104-Y20-C03,I02
Enamine,UC-192873,625,Z2856434894,C12H20N2,192.300,CC(C)NCC=1C=CC(=CC1)N(C)C,100,ethylene glycol,1119104-Y20-C03,J02
Enamine,UC-192873,626,Z2856434884,C15H22N2O,246.347,CC(=O)N1CCN(CCCC=2C=CC=CC2)CC1,100,ethylene glycol,1119104-Y20-C03,K02
Enamine,UC-192873,627,Z1259339735,C10H18N4O,210.276,CN(C)CC1=NC(=NO1)C2(N)CCCC2,100,ethylene glycol,1119104-Y20-C03,L02
Enamine,UC-192873,628,Z419884046,C16H23NO,245.359,CC1CCN(CC1)C(=O)CCCC=2C=CC=CC2,100,ethylene glycol,1119104-Y20-C03,M02
Enamine,UC-192873,629,Z31385861,C13H14N2O,214.263,CC(C)NC(=O)C=1C=CC=2C=CC=CC2N1,100,ethylene glycol,1119104-Y20-C03,N02
Enamine,UC-192873,630,Z645232558,C10H15N3O,193.245,OCC1CCN(CC1)C=2N=CC=CN2,100,ethylene glycol,1119104-Y20-C03,O02
Enamine,UC-192873,631,Z32014663,C11H15NO,177.242,CN(C)C(=O)C=1C=CC=C(C)C1C,100,ethylene glycol,1119104-Y20-C03,B03
Enamine,UC-192873,632,Z30162334,C16H23NO,245.359,CC(C)C(=O)N1CCC(CC=2C=CC=CC2)CC1,100,ethylene glycol,1119104-Y20-C03,C03
Enamine,UC-192873,633,Z135439900,C9H14N2O2,182.219,CCN(CC)C(=O)C1=CC(C)=NO1,100,ethylene glycol,1119104-Y20-C03,D03
Enamine,UC-192873,634,Z295848548,C10H15N3O2,209.245,C(N1CCOCC1)C2=NC(=NO2)C3CC3,100,ethylene glycol,1119104-Y20-C03,E03
Enamine,UC-192873,635,Z223353618,C10H15N3O2,209.245,CC=1C=C(NC(=O)C2CCCO2)N(C)N1,100,ethylene glycol,1119104-Y20-C03,F03
Enamine,UC-192873,636,Z280816320,C11H16N2O2,208.256,CC(C1CC1)N(C)C(=O)C2=CC(C)=NO2,100,ethylene glycol,1119104-Y20-C03,G03
Enamine,UC-192873,637,Z287256168,C12H16N2O,204.268,CC(NC(=O)C=1C=CC=C(C)N1)C2CC2,100,ethylene glycol,1119104-Y20-C03,H03
Enamine,UC-192873,638,Z1302595798,C11H16N2O2,208.256,CN(C)C(=O)C1=CC(=NO1)C2CCCC2,100,ethylene glycol,1119104-Y20-C03,I03
Enamine,UC-192873,639,Z1796014543,C12H14FNO,207.244,CNC(=O)C1(CC=2C=CC=CC2F)CC1,100,ethylene glycol,1119104-Y20-C03,J03
Enamine,UC-192873,640,Z1230130478,C11H17N3O,207.272,CC(C)NC=1N=CC=CC1C(=O)N(C)C,100,ethylene glycol,1119104-Y20-C03,K03
Enamine,UC-192873,641,Z1262254278,C10H21N3O,199.293,CC(C)NC(=O)CN1CCCNCC1,100,ethylene glycol,1119104-Y20-C03,L03
Enamine,UC-192873,642,Z1348417096,C11H15ClN2O,226.702,CN(CC1CCOC1)C=2C=CN=CC2Cl,100,ethylene glycol,1119104-Y20-C03,M03
Enamine,UC-192873,643,Z1998104358,C10H18N2O3,214.261,CN(C)C(=O)N1CCOCC21CCOC2,100,ethylene glycol,1119104-Y20-C03,N03
Enamine,UC-192873,644,Z1516316257,C11H15N3O,205.256,CCC1=NOC(C)=C1CN2C=CC(C)=N2,100,ethylene glycol,1119104-Y20-C03,O03
Enamine,UC-192873,645,Z1220645147,C10H13ClN4,224.690,CC(C)N1C=CC(CN2C=C(Cl)C=N2)=N1,100,ethylene glycol,1119104-Y20-C03,B04
Enamine,UC-192873,646,Z1273312142,C11H14FNO2,211.232,CCOC=1C(F)=CC=CC1C(=O)N(C)C,100,ethylene glycol,1119104-Y20-C03,C04
Enamine,UC-192873,647,Z375990520,C8H10N2O4,198.176,COC(=O)CNC(=O)C=1C=C(C)ON1,100,ethylene glycol,1119104-Y20-C03,D04
Enamine,UC-192873,648,Z31480458,C15H21NO2,247.332,CC(C)COC=1C=CC(=CC1)C(=O)N2CCCC2,100,ethylene glycol,1119104-Y20-C03,E04
